color,,Black,Blue,Colorless,Green,Red,Variable Colorless,White,cmc,colorlessMana,mana_Black,mana_Blue,mana_Green,mana_Red,mana_White,power,toughness
Black,count,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,16.0,16.0
Black,mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.627906976744186,1.0930232558139534,1.5348837209302326,0.0,0.0,0.0,0.0,2.125,2.5
Black,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4642283164073877,1.2689319372413368,0.7351331984685407,0.0,0.0,0.0,0.0,1.857417562100671,1.7511900715418263
Black,min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Black,25%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Black,50%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
Black,75%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.25,3.25
Black,max,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0
Blue,count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,14.0,14.0
Blue,mean,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.5,2.857142857142857
Blue,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4925288192938733,1.4084529943872368,0.0,0.4771187236136977,0.0,0.0,0.0,1.9903613896824017,2.0326997151247235
Blue,min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Blue,25%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Blue,50%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5,3.0
Blue,75%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.75
Blue,max,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,5.0,6.0
Colorless,count,61.0,61.0,61.0,61.0,61.0,61.0,61.0,47.0,61.0,61.0,61.0,61.0,61.0,61.0,5.0,5.0
Colorless,mean,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3617021276595747,1.819672131147541,0.0,0.0,0.0,0.0,0.0,2.4,5.0
Colorless,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6736517210149322,1.7749009054152054,0.0,0.0,0.0,0.0,0.0,2.3021728866442674,1.4142135623730951
Colorless,min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Colorless,25%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Colorless,50%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
Colorless,75%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
Colorless,max,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
Green,count,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,20.0,20.0
Green,mean,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.522727272727273,1.2272727272727273,0.0,0.0,1.2954545454545454,0.0,0.0,1.95,2.9
Green,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5919658224044941,1.3094226734876526,0.0,0.0,0.631702956928976,0.0,0.0,1.9861361590045288,2.04939015319192
Green,min,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Green,25%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Green,50%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.5
Green,75%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.25,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
Green,max,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,8.0
Red,count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,22.0,22.0
Red,mean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7857142857142856,1.4285714285714286,0.0,0.0,0.0,1.3571428571428572,0.0,2.1818181818181817,3.0
Red,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.335001859607991,1.2521758066945234,0.0,0.0,0.0,0.4849656045851725,0.0,1.401915819643949,1.7182493859684491
Red,min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Red,25%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Red,50%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,1.0,0.0,2.0,3.0
Red,75%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0
Red,max,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0
Variable Colorless,count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0
Variable Colorless,mean,0.21428571428571427,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,1.0,0.07142857142857142,1.3571428571428572,0.07142857142857142,0.21428571428571427,0.5,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.0,0.0
Variable Colorless,std,0.4258153136263201,0.4688072309384954,0.0,0.36313651960128146,0.4688072309384954,0.0,0.2672612419124244,0.633323693776651,0.2672612419124244,0.4258153136263201,0.9405399431259602,0.36313651960128146,0.6333236937766509,0.2672612419124244,,
Variable Colorless,min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variable Colorless,25%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variable Colorless,50%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variable Colorless,75%,0.0,0.75,0.0,0.0,0.75,1.0,0.0,1.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0
Variable Colorless,max,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0
White,count,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,11.0,11.0
White,mean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,0.9090909090909091,0.0,0.0,0.0,0.0,1.3409090909090908,2.4545454545454546,2.8181818181818183
White,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399750808387477,1.0958310389662929,0.0,0.0,0.0,0.0,0.5682769476388772,1.5075567228888183,1.8877596148970779
White,min,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
White,25%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
White,50%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,2.0
White,75%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.25,2.0,0.0,0.0,0.0,0.0,2.0,3.0,4.5
White,max,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0
